,spotify_id,name,followers,popularity,genres,chart_hits
4735,3fMbdgg4jU18AjLCKBhRSm,Michael Jackson,24070351.0,81,"['pop', 'r&b', 'soul']","['us (2)', 'gb (4)', 'ar (1)', 'au (3)', 'at (2)', 'be (2)', 'br (3)', 'bg (1)', 'ca (3)', 'cl (1)', 'co (2)', 'cr (1)', 'cz (2)', 'dk (2)', 'ec (1)', 'sv (1)', 'ee (2)', 'fr (4)', 'de (2)', 'gr (2)', 'gt (1)', 'hn (1)', 'hk (1)', 'hu (2)', 'is (3)', 'ie (3)', 'it (1)', 'lv (2)', 'lt (2)', 'lu (1)', 'my (1)', 'mt (1)', 'mx (1)', 'nl (2)', 'nz (4)', 'pe (2)', 'ph (1)', 'pl (3)', 'pt (2)', 'ro (1)', 'sa (1)', 'sg (1)', 'sk (2)', 'es (2)', 'se (1)', 'ch (2)', 'tw (2)', 'tr (2)', 'uy (1)']"
4782,7DQYAz99eM3Y5PkP9WtUew,Jax,295000.0,68,['gen z singer-songwriter'],"['us (1)', 'gb (1)', 'au (1)', 'ca (1)', 'dk (1)', 'ie (1)', 'nz (1)', 'no (1)', 'kr (1)', 'se (1)', 'vn (1)']"
4818,7yntSJ6uojO3z6GFUVwhAW,CORPSE,2221791.0,71,"['dream smp', 'viral rap']","['us (3)', 'gb (2)', 'au (2)', 'at (1)', 'bg (7)', 'ca (3)', 'cy (1)', 'cz (2)', 'ee (7)', 'fi (3)', 'de (1)', 'hu (3)', 'is (1)', 'lv (4)', 'lt (5)', 'nz (2)', 'no (1)', 'pl (1)', 'ro (4)', 'ru (1)', 'sk (3)', 'za (2)', 'ua (1)', 'ae (2)']"
4822,4qBgvVog0wzW75IQ48mU7v,KYLE,1020400.0,65,"['pop', 'pop rap', 'rap', 'viral rap']","['us (3)', 'gb (2)', 'au (3)', 'at (2)', 'be (2)', 'bo (1)', 'bg (2)', 'ca (3)', 'cr (1)', 'cy (3)', 'cz (2)', 'dk (2)', 'do (1)', 'sv (1)', 'ee (3)', 'fi (1)', 'fr (2)', 'de (2)', 'gr (2)', 'gt (1)', 'hn (1)', 'hk (2)', 'hu (3)', 'is (2)', 'id (2)', 'ie (3)', 'il (1)', 'it (1)', 'jp (1)', 'lv (3)', 'lt (3)', 'lu (2)', 'my (2)', 'mt (3)', 'nl (2)', 'nz (3)', 'ni (1)', 'no (2)', 'pa (1)', 'py (1)', 'ph (2)', 'pl (2)', 'pt (2)', 'ro (2)', 'sa (1)', 'sg (2)', 'sk (2)', 'es (2)', 'se (2)', 'ch (2)', 'tw (2)', 'th (1)', 'tr (1)', 'ae (1)', 'vn (1)']"
4898,1LOB7jTeEV14pHai6EXSzF,Cash Cash,662092.0,63,"['dance pop', 'edm', 'electro house', 'electropop', 'electropowerpop', 'pop', 'pop dance', 'pop edm', 'tropical house']","['us (2)', 'gb (3)', 'au (2)', 'at (1)', 'be (1)', 'bg (2)', 'ca (3)', 'cy (1)', 'cz (4)', 'dk (3)', 'ee (4)', 'fi (4)', 'de (1)', 'gr (3)', 'hk (3)', 'hu (3)', 'id (3)', 'ie (2)', 'it (1)', 'jp (1)', 'lv (5)', 'lt (6)', 'lu (2)', 'my (5)', 'mt (4)', 'nl (1)', 'nz (1)', 'no (7)', 'ph (3)', 'pl (1)', 'pt (1)', 'ro (1)', 'sg (5)', 'sk (5)', 'se (1)', 'ch (1)', 'tw (4)', 'th (2)', 'vn (1)']"
4959,3TOqt5oJwL9BE2NG9MEwDa,Disturbed,5528677.0,73,"['alternative metal', 'nu metal', 'rap metal']","['us (1)', 'gb (1)', 'au (1)', 'at (1)', 'be (1)', 'br (1)', 'bg (6)', 'ca (1)', 'dk (1)', 'fi (1)', 'de (1)', 'gr (1)', 'ie (1)', 'lv (1)', 'lu (1)', 'nz (1)', 'no (1)', 'pl (2)', 'pt (2)', 'ro (1)', 'se (1)', 'ch (1)']"
4977,0DxeaLnv6SyYk2DOqkLO8c,MAGIC!,1274167.0,66,['reggae fusion'],"['us (1)', 'gb (1)', 'ar (5)', 'au (2)', 'at (3)', 'be (1)', 'bo (1)', 'br (5)', 'bg (2)', 'ca (6)', 'cl (1)', 'co (1)', 'cr (1)', 'cy (1)', 'cz (2)', 'dk (2)', 'do (1)', 'ec (1)', 'sv (1)', 'ee (2)', 'fi (3)', 'fr (1)', 'de (1)', 'gr (2)', 'gt (1)', 'hn (2)', 'hk (2)', 'hu (2)', 'is (2)', 'ie (2)', 'it (1)', 'lv (2)', 'lt (3)', 'lu (1)', 'my (3)', 'mt (2)', 'mx (1)', 'nl (2)', 'nz (2)', 'ni (1)', 'no (1)', 'pa (4)', 'py (2)', 'pe (2)', 'ph (4)', 'pl (1)', 'pt (3)', 'sg (3)', 'sk (2)', 'es (1)', 'se (1)', 'ch (1)', 'tw (2)', 'tr (2)', 'uy (3)']"
5000,1Bl6wpkWCQ4KVgnASpvzzA,BROCKHAMPTON,2007111.0,68,"['boy band', 'hip hop', 'rap']","['us (10)', 'gb (3)', 'au (11)', 'at (1)', 'be (1)', 'bg (4)', 'ca (7)', 'cy (1)', 'cz (1)', 'dk (2)', 'ee (3)', 'fi (2)', 'de (1)', 'gr (1)', 'hk (1)', 'hu (1)', 'is (1)', 'id (1)', 'ie (4)', 'il (1)', 'lv (2)', 'lt (4)', 'lu (1)', 'my (1)', 'mt (1)', 'nl (1)', 'nz (8)', 'no (2)', 'ph (1)', 'pl (1)', 'pt (2)', 'ro (1)', 'sa (1)', 'sg (1)', 'sk (1)', 'za (2)', 'se (1)', 'ch (1)', 'ae (1)']"
5014,1i8SpTcr7yvPOmcqrbnVXY,Ozuna,33511653.0,86,"['puerto rican pop', 'reggaeton', 'trap latino']","['us (10)', 'ar (60)', 'at (1)', 'be (2)', 'bo (48)', 'br (1)', 'bg (2)', 'ca (4)', 'cl (76)', 'co (63)', 'cr (57)', 'cy (3)', 'cz (1)', 'do (110)', 'ec (52)', 'sv (55)', 'ee (2)', 'fr (2)', 'de (1)', 'gr (2)', 'gt (63)', 'hn (56)', 'hu (3)', 'in (1)', 'il (2)', 'it (16)', 'jp (1)', 'lt (3)', 'lu (7)', 'mt (29)', 'mx (39)', 'nl (2)', 'ni (46)', 'pa (84)', 'py (57)', 'pe (60)', 'pt (10)', 'ro (2)', 'sk (2)', 'es (69)', 'se (1)', 'ch (20)', 'th (1)', 'ae (1)', 'uy (61)', 'ad (5)']"
5074,2jku7tDXc6XoB6MO2hFuqg,Tory Lanez,4595919.0,79,"['canadian hip hop', 'canadian trap', 'melodic rap', 'pop', 'pop rap', 'r&b', 'rap', 'toronto rap', 'trap']","['us (25)', 'gb (12)', 'ar (1)', 'au (6)', 'at (1)', 'be (2)', 'bo (2)', 'br (1)', 'bg (8)', 'ca (65)', 'cl (1)', 'co (2)', 'cr (2)', 'cy (7)', 'cz (1)', 'dk (3)', 'do (2)', 'ec (2)', 'sv (2)', 'ee (1)', 'fi (1)', 'fr (1)', 'de (1)', 'gr (11)', 'gt (2)', 'hn (2)', 'hk (1)', 'hu (2)', 'is (2)', 'id (1)', 'ie (4)', 'it (1)', 'lv (3)', 'lt (2)', 'lu (7)', 'my (1)', 'mt (6)', 'nl (2)', 'nz (4)', 'ni (2)', 'no (6)', 'pa (2)', 'py (2)', 'pe (2)', 'ph (1)', 'pl (1)', 'pt (2)', 'ro (7)', 'sa (1)', 'sg (2)', 'sk (1)', 'za (9)', 'es (2)', 'se (1)', 'ch (4)', 'tw (1)', 'tr (1)', 'ae (3)', 'uy (1)']"
5087,6MDME20pz9RveH9rEXvrOM,Clean Bandit,4901516.0,75,"['dance pop', 'edm', 'pop', 'pop dance', 'tropical house', 'uk dance', 'uk funky', 'uk pop']","['us (5)', 'gb (14)', 'ar (5)', 'au (8)', 'at (8)', 'be (7)', 'bo (6)', 'br (7)', 'bg (8)', 'ca (9)', 'cl (5)', 'co (6)', 'cr (5)', 'cy (8)', 'cz (9)', 'dk (8)', 'do (5)', 'ec (5)', 'eg (2)', 'sv (5)', 'ee (8)', 'fi (10)', 'fr (6)', 'de (9)', 'gr (7)', 'gt (5)', 'hn (5)', 'hk (8)', 'hu (9)', 'is (7)', 'in (1)', 'id (6)', 'ie (13)', 'il (4)', 'it (9)', 'jp (5)', 'lv (7)', 'lt (10)', 'lu (8)', 'my (8)', 'mt (7)', 'mx (6)', 'ma (1)', 'nl (8)', 'nz (7)', 'ni (5)', 'no (12)', 'pa (5)', 'py (5)', 'pe (5)', 'ph (6)', 'pl (8)', 'pt (7)', 'ro (5)', 'sa (2)', 'sg (9)', 'sk (9)', 'za (1)', 'kr (1)', 'es (6)', 'se (7)', 'ch (8)', 'tw (9)', 'th (4)', 'tr (5)', 'ae (2)', 'uy (6)', 'vn (6)', 'ad (2)']"
5106,3MZsBdqDrRTJihTHQrO6Dq,Joji,6831881.0,85,['viral pop'],"['us (27)', 'gb (9)', 'ar (1)', 'au (13)', 'at (2)', 'be (2)', 'bo (1)', 'br (1)', 'bg (11)', 'ca (17)', 'cl (1)', 'co (1)', 'cr (2)', 'cy (6)', 'cz (4)', 'dk (2)', 'do (1)', 'ec (1)', 'eg (3)', 'sv (1)', 'ee (26)', 'fi (3)', 'fr (1)', 'de (2)', 'gr (6)', 'gt (1)', 'hn (2)', 'hk (7)', 'hu (7)', 'is (5)', 'in (1)', 'id (5)', 'ie (6)', 'il (2)', 'it (1)', 'jp (1)', 'lv (26)', 'lt (31)', 'lu (5)', 'my (26)', 'mt (4)', 'mx (1)', 'ma (2)', 'nl (2)', 'nz (10)', 'ni (1)', 'no (4)', 'pa (1)', 'py (1)', 'pe (1)', 'ph (8)', 'pl (3)', 'pt (6)', 'ro (8)', 'ru (16)', 'sa (2)', 'sg (13)', 'sk (7)', 'za (8)', 'kr (2)', 'es (1)', 'se (2)', 'ch (2)', 'tw (8)', 'th (9)', 'tr (1)', 'ua (9)', 'ae (12)', 'uy (1)', 'vn (6)']"
5129,22wbnEMDvgVIAGdFeek6ET,Benson Boone,416530.0,72,['pop'],"['us (2)', 'gb (2)', 'au (2)', 'at (2)', 'be (2)', 'ca (2)', 'cy (2)', 'dk (2)', 'ee (2)', 'fi (2)', 'fr (1)', 'de (2)', 'hk (1)', 'hu (1)', 'is (2)', 'id (1)', 'ie (2)', 'il (1)', 'lv (2)', 'lt (1)', 'lu (2)', 'my (2)', 'nl (2)', 'nz (2)', 'no (5)', 'ph (1)', 'pt (1)', 'sg (2)', 'za (2)', 'kr (1)', 'se (3)', 'ch (2)', 'ae (2)']"
5146,7b79bQFziJFedJb75k6hFt,Tion Wayne,658509.0,72,['london rap'],"['us (1)', 'gb (10)', 'au (1)', 'at (2)', 'be (1)', 'bg (2)', 'ca (1)', 'cy (3)', 'cz (1)', 'dk (1)', 'do (1)', 'eg (1)', 'ee (1)', 'fi (1)', 'fr (1)', 'de (1)', 'gr (1)', 'hk (1)', 'hu (1)', 'is (2)', 'ie (6)', 'il (1)', 'it (2)', 'lv (1)', 'lt (1)', 'lu (2)', 'my (1)', 'ma (1)', 'nl (1)', 'nz (1)', 'no (1)', 'pa (1)', 'pl (1)', 'pt (1)', 'ro (2)', 'sa (1)', 'sg (1)', 'sk (1)', 'za (1)', 'kr (1)', 'es (1)', 'se (2)', 'ch (2)', 'tr (2)', 'ae (1)']"
5161,20sxb77xiYeusSH8cVdatc,Meek Mill,6481503.0,75,"['hip hop', 'philly rap', 'pop rap', 'rap', 'southern hip hop', 'trap']","['us (52)', 'gb (8)', 'au (4)', 'at (2)', 'be (3)', 'bo (1)', 'br (1)', 'bg (4)', 'ca (36)', 'co (1)', 'cr (2)', 'cy (3)', 'cz (2)', 'dk (2)', 'do (2)', 'sv (1)', 'ee (2)', 'fi (2)', 'fr (2)', 'de (2)', 'gr (6)', 'gt (1)', 'hn (1)', 'hk (2)', 'hu (2)', 'is (2)', 'ie (2)', 'il (1)', 'it (1)', 'lv (2)', 'lt (3)', 'lu (4)', 'my (3)', 'mt (2)', 'ma (1)', 'nl (3)', 'nz (5)', 'no (2)', 'pa (2)', 'py (1)', 'ph (3)', 'pl (4)', 'pt (2)', 'ro (3)', 'sa (1)', 'sg (3)', 'sk (2)', 'za (3)', 'es (1)', 'se (2)', 'ch (5)', 'tw (3)', 'th (1)', 'tr (2)', 'ae (1)', 'uy (1)', 'vn (1)']"
5178,6WY7D3jk8zTrHtmkqqo5GI,Maren Morris,682680.0,73,"['contemporary country', 'country', 'pop', 'texas country']","['us (1)', 'gb (1)', 'au (1)', 'be (1)', 'bg (1)', 'ca (2)', 'cy (1)', 'cz (1)', 'dk (1)', 'ee (1)', 'gr (1)', 'hk (1)', 'hu (1)', 'in (1)', 'ie (1)', 'lv (1)', 'lt (1)', 'lu (1)', 'my (1)', 'mt (1)', 'nz (1)', 'ph (1)', 'pt (1)', 'ro (1)', 'sg (1)', 'sk (1)', 'za (1)', 'tw (1)', 'th (1)', 'ae (1)', 'vn (1)']"
5227,6fWVd57NKTalqvmjRd2t8Z,24kGoldn,1842518.0,74,"['cali rap', 'pop rap', 'rap']","['us (6)', 'gb (3)', 'ar (2)', 'au (4)', 'at (4)', 'be (3)', 'bo (2)', 'br (1)', 'bg (4)', 'ca (8)', 'cl (1)', 'co (2)', 'cr (2)', 'cy (4)', 'cz (4)', 'dk (5)', 'do (2)', 'ec (2)', 'eg (3)', 'sv (2)', 'ee (6)', 'fi (5)', 'fr (1)', 'de (3)', 'gr (4)', 'gt (2)', 'hn (2)', 'hk (2)', 'hu (5)', 'is (6)', 'in (2)', 'id (1)', 'ie (4)', 'il (3)', 'it (1)', 'jp (2)', 'lv (4)', 'lt (4)', 'lu (5)', 'my (2)', 'mt (2)', 'mx (1)', 'ma (3)', 'nl (3)', 'nz (4)', 'ni (1)', 'no (10)', 'pa (2)', 'py (1)', 'pe (2)', 'ph (2)', 'pl (2)', 'pt (3)', 'ro (4)', 'ru (2)', 'sa (4)', 'sg (3)', 'sk (4)', 'za (4)', 'kr (5)', 'es (2)', 'se (4)', 'ch (4)', 'tw (2)', 'th (2)', 'ua (2)', 'ae (5)', 'uy (2)', 'vn (2)', 'ad (1)']"
5264,4IWBUUAFIplrNtaOHcJPRM,James Arthur,10257337.0,79,"['pop', 'talent show', 'uk pop']","['us (5)', 'gb (16)', 'ar (1)', 'au (8)', 'at (9)', 'be (9)', 'bo (1)', 'br (2)', 'bg (8)', 'ca (7)', 'cl (1)', 'co (1)', 'cr (1)', 'cy (9)', 'cz (8)', 'dk (7)', 'do (1)', 'ec (1)', 'eg (1)', 'sv (1)', 'ee (10)', 'fi (4)', 'fr (4)', 'de (8)', 'gr (10)', 'gt (1)', 'hn (1)', 'hk (6)', 'hu (10)', 'is (6)', 'in (2)', 'id (7)', 'ie (16)', 'il (2)', 'it (3)', 'jp (1)', 'lv (11)', 'lt (8)', 'lu (9)', 'my (9)', 'mt (10)', 'mx (2)', 'nl (7)', 'nz (7)', 'ni (1)', 'no (16)', 'pa (1)', 'py (1)', 'pe (1)', 'ph (6)', 'pl (6)', 'pt (10)', 'ro (7)', 'sa (3)', 'sg (11)', 'sk (8)', 'za (2)', 'kr (1)', 'es (2)', 'se (15)', 'ch (10)', 'tw (10)', 'th (7)', 'tr (1)', 'ae (4)', 'uy (1)', 'vn (4)', 'ad (1)']"
5278,6lB8vOoI4DRrrVxXwuV19c,Mike Perry,1391157.0,66,"['dance pop', 'edm', 'electro house', 'pop', 'pop dance', 'pop edm', 'swedish tropical house', 'tropical house', 'uk pop']","['us (1)', 'gb (1)', 'ar (1)', 'au (1)', 'at (3)', 'be (2)', 'bo (1)', 'br (1)', 'bg (4)', 'ca (1)', 'cl (1)', 'co (1)', 'cr (1)', 'cy (1)', 'cz (6)', 'dk (5)', 'do (1)', 'ec (1)', 'sv (1)', 'ee (6)', 'fi (5)', 'fr (1)', 'de (2)', 'gr (5)', 'gt (1)', 'hn (1)', 'hk (3)', 'hu (6)', 'is (1)', 'id (3)', 'ie (1)', 'it (1)', 'lv (5)', 'lt (7)', 'lu (5)', 'my (5)', 'mt (6)', 'mx (1)', 'nl (1)', 'nz (1)', 'ni (1)', 'no (9)', 'pa (1)', 'py (1)', 'pe (1)', 'ph (4)', 'pl (3)', 'pt (1)', 'sg (4)', 'sk (6)', 'es (1)', 'se (11)', 'ch (5)', 'tw (6)', 'th (1)', 'tr (1)', 'uy (1)']"
5284,3Sz7ZnJQBIHsXLUSo0OQtM,Mac DeMarco,2996860.0,77,"['edmonton indie', 'lo-fi indie']","['us (1)', 'ca (1)', 'lt (1)']"
5326,35WVTyRnKAoaGExqgktVyb,Hotel Ugly,90441.0,66,[],['us (1)']
5327,3dz0NnIZhtKKeXZxLOxCam,Porter Robinson,1020797.0,64,"['complextro', 'edm', 'melodic dubstep', 'progressive electro house']","['us (1)', 'au (1)', 'ca (2)', 'cz (1)', 'ee (1)', 'id (1)', 'lv (1)', 'lt (1)', 'my (1)', 'no (1)', 'sg (2)', 'sk (1)', 'kr (1)', 'tw (1)', 'vn (1)']"
5374,6TLwD7HPWuiOzvXEa3oCNe,Oliver Tree,1846563.0,70,['alternative hip hop'],"['us (1)', 'gb (1)', 'ar (1)', 'au (1)', 'at (1)', 'be (1)', 'bo (1)', 'br (1)', 'bg (1)', 'ca (1)', 'cl (1)', 'co (1)', 'cr (1)', 'cy (1)', 'cz (1)', 'dk (1)', 'do (1)', 'ec (1)', 'eg (1)', 'sv (1)', 'ee (3)', 'fi (1)', 'fr (1)', 'de (1)', 'gr (1)', 'gt (1)', 'hn (1)', 'hk (1)', 'hu (1)', 'is (1)', 'in (1)', 'id (1)', 'ie (1)', 'il (1)', 'it (1)', 'lv (2)', 'lt (2)', 'lu (1)', 'my (1)', 'mt (1)', 'mx (1)', 'ma (1)', 'nl (1)', 'nz (1)', 'ni (1)', 'no (1)', 'pa (1)', 'py (1)', 'pe (1)', 'ph (1)', 'pl (1)', 'pt (1)', 'ro (1)', 'ru (3)', 'sa (1)', 'sg (1)', 'sk (1)', 'za (1)', 'kr (1)', 'es (1)', 'se (1)', 'ch (1)', 'tw (1)', 'th (1)', 'ua (4)', 'ae (1)', 'uy (1)', 'vn (1)']"
5392,6USMTwO0MNDnKte5a5h0xx,Y2K,282719.0,63,['pop rap'],"['us (1)', 'gb (1)', 'ar (1)', 'au (1)', 'at (1)', 'be (1)', 'bo (1)', 'br (1)', 'bg (1)', 'ca (1)', 'cl (1)', 'co (1)', 'cr (1)', 'cy (1)', 'cz (1)', 'dk (1)', 'do (1)', 'ec (1)', 'eg (1)', 'sv (1)', 'ee (1)', 'fi (1)', 'fr (1)', 'de (1)', 'gr (1)', 'gt (1)', 'hn (1)', 'hk (1)', 'hu (1)', 'is (1)', 'in (1)', 'id (1)', 'ie (1)', 'il (1)', 'it (1)', 'jp (1)', 'lv (1)', 'lt (1)', 'lu (1)', 'my (1)', 'mt (1)', 'mx (1)', 'ma (1)', 'nl (1)', 'nz (1)', 'ni (1)', 'no (1)', 'pa (1)', 'py (1)', 'pe (1)', 'ph (1)', 'pl (1)', 'pt (1)', 'ro (1)', 'sa (1)', 'sg (1)', 'sk (1)', 'za (1)', 'es (1)', 'se (1)', 'ch (1)', 'tw (1)', 'th (1)', 'tr (1)', 'ae (1)', 'uy (1)', 'vn (1)']"
5445,7keGfmQR4X5w0two1xKZ7d,Kungs,859876.0,70,"['pop dance', 'tropical house']","['us (1)', 'gb (2)', 'ar (2)', 'au (2)', 'at (5)', 'be (6)', 'bo (2)', 'br (2)', 'bg (2)', 'ca (2)', 'cl (2)', 'co (2)', 'cr (2)', 'cy (1)', 'cz (2)', 'dk (2)', 'do (2)', 'ec (2)', 'sv (2)', 'ee (4)', 'fi (2)', 'fr (8)', 'de (5)', 'gr (2)', 'gt (2)', 'hn (2)', 'hk (1)', 'hu (5)', 'is (2)', 'id (2)', 'ie (2)', 'it (5)', 'lv (4)', 'lt (7)', 'lu (4)', 'my (2)', 'mt (2)', 'mx (2)', 'nl (3)', 'nz (2)', 'ni (2)', 'no (3)', 'pa (2)', 'py (2)', 'pe (2)', 'ph (1)', 'pl (4)', 'pt (2)', 'sg (2)', 'sk (5)', 'es (2)', 'se (2)', 'ch (5)', 'tw (1)', 'tr (2)', 'uy (2)', 'ad (1)']"
5450,4V8LLVI7PbaPR0K2TGSxFF,"Tyler, The Creator",9524149.0,84,"['hip hop', 'rap']","['us (43)', 'gb (28)', 'au (30)', 'at (3)', 'be (9)', 'br (1)', 'bg (23)', 'ca (37)', 'cr (1)', 'cy (8)', 'cz (6)', 'dk (16)', 'do (1)', 'eg (1)', 'ee (28)', 'fi (7)', 'fr (1)', 'de (2)', 'gr (15)', 'hn (1)', 'hk (2)', 'hu (10)', 'is (29)', 'in (1)', 'id (1)', 'ie (24)', 'il (11)', 'jp (1)', 'lv (33)', 'lt (33)', 'lu (13)', 'my (2)', 'mt (8)', 'ma (1)', 'nl (6)', 'nz (30)', 'no (13)', 'pa (1)', 'ph (2)', 'pl (9)', 'pt (23)', 'ro (19)', 'ru (5)', 'sa (2)', 'sg (3)', 'sk (14)', 'za (14)', 'kr (10)', 'se (3)', 'ch (10)', 'tw (2)', 'th (1)', 'ua (4)', 'ae (10)', 'vn (1)']"
5464,2FwJwEswyIUAljqgjNSHgP,Snakehips,344480.0,63,"['edm', 'electro house', 'pop', 'pop dance', 'tropical house']","['us (3)', 'gb (4)', 'au (6)', 'at (4)', 'be (2)', 'bo (2)', 'br (3)', 'bg (3)', 'ca (3)', 'co (1)', 'cr (1)', 'cy (2)', 'cz (3)', 'dk (4)', 'do (2)', 'sv (2)', 'ee (3)', 'fi (3)', 'fr (3)', 'de (4)', 'gr (3)', 'gt (2)', 'hn (2)', 'hk (2)', 'hu (3)', 'is (2)', 'id (3)', 'ie (4)', 'it (2)', 'lv (3)', 'lt (5)', 'lu (2)', 'my (3)', 'mt (3)', 'nl (4)', 'nz (4)', 'ni (2)', 'no (4)', 'pa (2)', 'py (2)', 'ph (3)', 'pl (3)', 'pt (3)', 'ro (1)', 'sg (3)', 'sk (3)', 'es (2)', 'se (3)', 'ch (2)', 'tw (4)', 'tr (2)', 'uy (1)']"
5466,716NhGYqD1jl2wI1Qkgq36,Bizarrap,6978398.0,87,"['argentine hip hop', 'pop venezolano', 'trap argentino']","['us (1)', 'ar (50)', 'at (1)', 'be (1)', 'bo (24)', 'ca (1)', 'cl (27)', 'co (12)', 'cr (27)', 'cy (1)', 'do (9)', 'ec (18)', 'sv (16)', 'fr (1)', 'de (1)', 'gt (14)', 'hn (12)', 'is (1)', 'ie (1)', 'it (1)', 'lt (1)', 'lu (2)', 'mx (14)', 'ma (2)', 'ni (14)', 'pa (15)', 'py (31)', 'pe (17)', 'pt (1)', 'kr (1)', 'es (27)', 'ch (1)', 'ae (1)', 'uy (47)', 'ad (1)']"
5477,1HBjj22wzbscIZ9sEb5dyf,Jonas Blue,3611681.0,75,"['dance pop', 'edm', 'pop', 'pop dance', 'tropical house', 'uk dance', 'uk pop']","['us (6)', 'gb (8)', 'ar (4)', 'au (7)', 'at (7)', 'be (7)', 'bo (5)', 'br (5)', 'bg (7)', 'ca (7)', 'cl (4)', 'co (5)', 'cr (5)', 'cy (7)', 'cz (7)', 'dk (9)', 'do (5)', 'ec (5)', 'sv (5)', 'ee (8)', 'fi (8)', 'fr (6)', 'de (7)', 'gr (8)', 'gt (5)', 'hn (5)', 'hk (8)', 'hu (8)', 'is (5)', 'in (3)', 'id (8)', 'ie (8)', 'il (1)', 'it (6)', 'jp (5)', 'lv (7)', 'lt (10)', 'lu (7)', 'my (9)', 'mt (9)', 'mx (5)', 'nl (7)', 'nz (5)', 'ni (5)', 'no (10)', 'pa (5)', 'py (4)', 'pe (4)', 'ph (9)', 'pl (7)', 'pt (7)', 'ro (3)', 'sg (11)', 'sk (8)', 'za (2)', 'kr (1)', 'es (5)', 'se (10)', 'ch (7)', 'tw (12)', 'th (7)', 'tr (5)', 'ae (2)', 'uy (5)', 'vn (5)', 'ad (3)']"
5480,3tLYpanVDomWAZqF82NPds,Vigiland,266015.0,60,"['dance pop', 'edm', 'electronic trap', 'pop dance', 'pop rap', 'tropical house']","['us (1)', 'gb (1)', 'ar (1)', 'au (1)', 'at (4)', 'be (4)', 'bo (1)', 'br (1)', 'bg (3)', 'ca (2)', 'cl (1)', 'co (1)', 'cr (1)', 'cy (2)', 'cz (5)', 'dk (6)', 'do (1)', 'ec (1)', 'sv (1)', 'ee (6)', 'fi (6)', 'fr (1)', 'de (2)', 'gr (5)', 'gt (1)', 'hn (1)', 'hk (1)', 'hu (5)', 'is (2)', 'ie (1)', 'il (1)', 'it (1)', 'lv (5)', 'lt (5)', 'lu (3)', 'my (1)', 'mt (4)', 'mx (1)', 'nl (2)', 'nz (2)', 'ni (1)', 'no (11)', 'pa (1)', 'py (1)', 'pe (1)', 'ph (1)', 'pl (2)', 'pt (1)', 'ro (2)', 'sg (1)', 'sk (5)', 'es (1)', 'se (17)', 'ch (3)', 'tw (1)', 'tr (1)', 'uy (1)']"
5486,7dGJo4pcD2V6oG8kP0tJRR,Eminem,59184634.0,90,"['detroit hip hop', 'hip hop', 'rap']","['us (78)', 'gb (72)', 'ar (7)', 'au (64)', 'at (61)', 'be (48)', 'bo (8)', 'br (10)', 'bg (73)', 'ca (73)', 'cl (5)', 'co (7)', 'cr (15)', 'cy (62)', 'cz (54)', 'dk (54)', 'do (12)', 'ec (8)', 'eg (32)', 'sv (8)', 'ee (63)', 'fi (70)', 'fr (48)', 'de (68)', 'gr (62)', 'gt (8)', 'hn (9)', 'hk (24)', 'hu (58)', 'is (47)', 'in (9)', 'id (7)', 'ie (63)', 'il (38)', 'it (39)', 'jp (5)', 'lv (64)', 'lt (58)', 'lu (56)', 'my (21)', 'mt (53)', 'mx (8)', 'ma (34)', 'nl (54)', 'nz (66)', 'ni (6)', 'no (68)', 'pa (8)', 'py (6)', 'pe (2)', 'ph (10)', 'pl (28)', 'pt (54)', 'ro (50)', 'ru (2)', 'sa (39)', 'sg (24)', 'sk (60)', 'za (25)', 'es (7)', 'se (62)', 'ch (71)', 'tw (15)', 'th (7)', 'tr (31)', 'ua (4)', 'ae (29)', 'uy (5)', 'vn (13)']"
5511,0a1gHP0HAqALbEyxaD5Ngn,Rascal Flatts,3304499.0,69,"['contemporary country', 'country', 'country road']","['us (1)', 'ca (1)', 'no (1)']"
5536,6i392l38cR3uBPF0DbNs7S,Quality Control,1067819.0,66,"['hip hop', 'melodic rap', 'pop rap', 'rap', 'southern hip hop', 'trap']","['us (9)', 'bg (6)', 'ca (6)', 'gr (2)', 'is (1)', 'nz (1)', 'ro (2)', 'za (1)', 'ae (1)']"
5630,3vbKDsSS70ZX9D2OcvbZmS,Beck,1362947.0,65,"['alternative rock', 'anti-folk', 'indie rock', 'modern rock', 'permanent wave', 'rock']","['us (5)', 'gb (1)', 'ar (1)', 'au (1)', 'be (1)', 'ca (3)', 'cz (1)', 'fr (1)', 'hk (1)', 'is (6)', 'ie (5)', 'jp (2)', 'lt (1)', 'my (1)', 'mx (1)', 'nl (1)', 'nz (1)', 'ph (1)', 'pl (1)', 'pt (1)', 'sg (1)', 'ch (1)', 'tw (1)', 'tr (1)']"
